10;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,174;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,244;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,328;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,24;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,364;
100;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,378;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,41;
Start - TransformationAnaylsis;End - TransformationAnalysis
0,358;
1000;
Start - TransformationAnaylsis;End - TransformationAnalysis
1,807;
Start - TransformationAnaylsis;End - TransformationAnalysis
2,037;
Start - TransformationAnaylsis;End - TransformationAnalysis
2,155;
10000;
Start - TransformationAnaylsis;End - TransformationAnalysis
9,607;
Start - TransformationAnaylsis;End - TransformationAnalysis
9,326;
Start - TransformationAnaylsis;End - TransformationAnalysis
9,911;
100000;
Start - TransformationAnaylsis;End - TransformationAnalysis
74,223;
Start - TransformationAnaylsis;End - TransformationAnalysis
72,131;
Start - TransformationAnaylsis;End - TransformationAnalysis
70,515;
1000000;
Start - TransformationAnaylsis;End - TransformationAnalysis;
752,485000;
Start - TransformationAnaylsis;End - TransformationAnalysis;
751,467000;
Start - TransformationAnaylsis;End - TransformationAnalysis;
761,967000;
