10;;;
Building Graph;Component Classification;Deployment Analysis;End
0,005;0,001;0,006;
Building Graph;Component Classification;Deployment Analysis;End
0,007;0,002;0,001;
Building Graph;Component Classification;Deployment Analysis;End
0,005;0,002;0,003;
100;;;
Building Graph;Component Classification;Deployment Analysis;End
0,008;0,001;0,01;
Building Graph;Component Classification;Deployment Analysis;End
0,009;0,002;0,008;
Building Graph;Component Classification;Deployment Analysis;End
0,01;0,001;0,008;
1000;;;
Building Graph;Component Classification;Deployment Analysis;End
0,012;0,002;0,009;
Building Graph;Component Classification;Deployment Analysis;End
0,012;0,002;0,008;
Building Graph;Component Classification;Deployment Analysis;End
0,021;0,004;0,008;
Building Graph;Component Classification;Deployment Analysis;End
0,013;0,003;0,01;
10000;;;
Building Graph;Component Classification;Deployment Analysis;End
0,078;0,014;0,017;
Building Graph;Component Classification;Deployment Analysis;End
0,062;0,013;0,026;
Building Graph;Component Classification;Deployment Analysis;End
0,079;0,007;0,02;
100000;;;
Building Graph;Component Classification;Deployment Analysis;End
0,537;0,064;0,085;
Building Graph;Component Classification;Deployment Analysis;End
0,553;0,074;0,114;
Building Graph;Component Classification;Deployment Analysis;End
0,566;0,067;0,108;
1000000;;;
Building Graph;Component Classification;Deployment Analysis;End;
5,467000;0,584000;9,709000;
Building Graph;Component Classification;Deployment Analysis;End;
5,646000;0,560000;9,628000;
Building Graph;Component Classification;Deployment Analysis;End;
5,491000;0,557000;9,172000;
