10;;;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,001;0,065;0,009;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,006;0,001;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,002;0,002;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,019;0,004;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,002;0,001;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,001;0,001;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,001;0,001;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,001;0,001;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,001;0,001;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;11
0,001;0,001;0;
100;;;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,006;0,041;0,004;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,004;0,007;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,004;0,006;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,005;0,006;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,005;0,008;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,005;0,006;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,009;0,007;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,005;0,009;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,007;0,005;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;116
0,004;0,004;0,001;
1000;;;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,04;0,241;0,005;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,023;0,208;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,025;0,188;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,027;0,193;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,025;0,194;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,025;0,196;0;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,023;0,189;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,024;0,244;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,027;0,221;0,001;
Building Graphs;Adaptation Calculation;Adaptatin Planning;1093
0,025;0,246;0,001;
10000;;;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,391;31,302;0,015;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,288;31,256;0,005;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,277;30,386;0,005;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,271;31,8;0,013;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,295;32,553;0,003;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,241;31,675;0,004;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,274;34,012;0,004;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,274;31,437;0,003;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,236;38,325;0,003;
Building Graphs;Adaptation Calculation;Adaptatin Planning;10824
0,243;39,265;0,003;
100000;;;
